user_id,clothing_id,brand_name,age,gender,occassion,weather,category,subcategory,color,subcolor,purchase_date,material,pattern,product_display_name
G1,42,Uniqlo,,Unisex,Smart Casual,,Top,Long Sleeves,LIght,Blue,,,Plain,Uniqlo Broadcloth Oversized Long Sleeves
G1,43,Uniqlo,,Women,Casual,,Bottom,Skirt,Dark ,Black,,Wool,Plain ,Uniqlo Pleated Skort
G1,44,Uniqlo,,Women,Casual,,Bottom,Jeans,Light,Blue,,Denim,Plain ,Uniqlo Wide Trouser Jeans
G1,45,Uniqlo,,Women,Smart Casual,,Bottom,Pants,Light,Grey,,,Plain ,Uniqlo Pleated Wide Pants
G1,46,Uniqlo,,Women,Formal,,Bottom,Pants,Dark,Grey,,Rayon,Plain ,Uniqlo Smart Ankle Pants
G1,47,Mango,,Women,Formal ,,Top,Jacket,Light,Pink,,Linen,Plain ,Mango Linen Suit Jacket
G1,48,Mango,,Women,Formal ,,Top ,Blazer,Light,White,,,Plain ,Mango Straight Button Suit Blazer
G1,49,Mango,,Women,Formal ,,Top ,Blazer,Light,Brown,,Linen,Plain,Mango Linen-blend Cropped Jacket
G1,50,Mango,,Women,Casual,,Top ,Blouse,Light,Green,,,Plain,Mango Combined Blouse with Bow Detail
G1,51,Mango,,Women,Casual,,Top,Blouse,Light,White,,Cotton,Printed,Mango Printed Cotton Shirt with Short Sleeves
G1,52,Mango,,Women,Casual ,,Top,Shirt,Dark,,,Denim,Plain,Mango Rinse-washed Denim Shirt
