user_id,clothing_id,brand_name,age,gender,occassion,weather,category,subcategory,color,subcolor,purchase_date,material,pattern,product_display_name
G1,39,Uniqlo,,Women,Formal,Unspecified,Top,Long Sleeves,Dark,Black,2024-10-16,Satin,Plain ,Uniqlo Satin Long Sleeves
G1,40,Uniqlo,,Women,Casual,Unspecified,Top,Blouse,Light,Olive,2024-12-18,Linen,Plain ,Uniqlo Linen 3/4 Sleeves
G1,41,Uniqlo,,Women,Smart Casual,Unspecified,Top,Blouse,Light,White,2024-12-18,Linen,Stripes,Uniqlo Premium Linen Long Sleeves
G1,42,Uniqlo,,Unisex,Smart Casual,Unspecified,Top,Long Sleeves,Light,Blue,2024-12-18,,Plain,Uniqlo Broadcloth Oversized Long Sleeves
G1,43,Uniqlo,,Women,Casual,Unspecified,Bottom,Skirt,Dark ,Black,2024-12-08,Wool,Plain ,Uniqlo Pleated Skort
G1,44,Uniqlo,,Women,Casual,Unspecified,Bottom,Jeans,Light,Blue,2024-12-08,Denim,Plain ,Uniqlo Wide Trouser Jeans
G1,45,Uniqlo,,Women,Smart Casual,Unspecified,Bottom,Pants,Light,Grey,2024-12-08,,Plain ,Uniqlo Pleated Wide Pants
G1,46,Uniqlo,,Women,Formal,Unspecified,Bottom,Pants,Dark,Grey,2024-12-08,Rayon,Plain ,Uniqlo Smart Ankle Pants
G1,47,Mango,,Women,Formal ,Unspecified,Top,Jacket,Light,Pink,2024-12-08,Linen,Plain ,Mango Linen Suit Jacket
G1,48,Mango,,Women,Formal ,Unspecified,Top ,Blazer,Light,White,2025-04-06,,Plain ,Mango Straight Button Suit Blazer
G1,49,Mango,,Women,Formal ,Unspecified,Top ,Blazer,Light,Brown,2025-04-06,Linen,Plain,Mango Linen-blend Cropped Jacket
G1,50,Mango,,Women,Casual,Unspecified,Top ,Blouse,Light,Green,2025-04-06,,Plain,Mango Combined Blouse with Bow Detail
G1,51,Mango,,Women,Casual,Unspecified,Top,Blouse,Light,White,2025-02-10,Cotton,Printed,Mango Printed Cotton Shirt with Short Sleeves
G1,52,Mango,,Women,Casual ,Unspecified,Top,Shirt,Dark,Grey,2025-02-10,Denim,Plain,Mango Rinse-washed Denim Shirt
B1,53,Rolex,,Men,Formal,Unspecified,Accessories,Watch,Light,Whitegold,2024-10-16,Steel,,Rolex Daytona
B1,54,Cartier,,Women,Formal,Unspecified,Accessories,Watch,Light,Rosegold,2024-10-16,Leather,,Cartier Tank
